2019/04/08 13:40:30.880 [D]  start to send message to kafka...
2019/04/08 13:40:30.886 [D]  pid:0 offset:1120

2019/04/08 13:40:30.886 [D]  start to send message to kafka...
2019/04/08 13:40:30.893 [D]  pid:0 offset:1121

2019/04/08 13:40:30.893 [D]  start to send message to kafka...
2019/04/08 13:40:31.880 [D]  pid:0 offset:1122

2019/04/08 13:40:31.880 [D]  start to send message to kafka...
2019/04/08 13:40:31.887 [D]  pid:0 offset:1123

2019/04/08 13:40:31.887 [D]  start to send message to kafka...
2019/04/08 13:40:31.902 [D]  pid:0 offset:1124

2019/04/08 13:40:31.902 [D]  start to send message to kafka...
2019/04/08 13:40:32.881 [D]  pid:0 offset:1125

2019/04/08 13:40:32.881 [D]  start to send message to kafka...
2019/04/08 13:40:32.884 [D]  pid:0 offset:1126

2019/04/08 13:40:32.884 [D]  start to send message to kafka...
2019/04/08 13:40:32.888 [D]  pid:0 offset:1127

2019/04/08 13:40:32.888 [D]  start to send message to kafka...
2019/04/08 13:40:33.876 [D]  pid:0 offset:1128

2019/04/08 13:40:33.876 [D]  start to send message to kafka...
2019/04/08 13:40:33.878 [D]  pid:0 offset:1129

2019/04/08 13:40:33.878 [D]  start to send message to kafka...
2019/04/08 13:40:33.887 [D]  pid:0 offset:1130

2019/04/08 13:40:33.887 [D]  start to send message to kafka...
2019/04/08 13:40:34.880 [D]  pid:0 offset:1131

2019/04/08 13:40:34.880 [D]  start to send message to kafka...
2019/04/08 13:40:34.884 [D]  pid:0 offset:1132

2019/04/08 13:40:34.884 [D]  start to send message to kafka...
2019/04/08 13:40:34.892 [D]  pid:0 offset:1133

2019/04/08 13:40:34.892 [D]  start to send message to kafka...
2019/04/08 13:40:35.900 [D]  pid:0 offset:1134

2019/04/08 13:40:35.900 [D]  start to send message to kafka...
2019/04/08 13:40:35.927 [D]  pid:0 offset:1135

2019/04/08 13:40:35.927 [D]  start to send message to kafka...
2019/04/08 13:40:35.934 [D]  pid:0 offset:1136

2019/04/08 13:40:35.934 [D]  start to send message to kafka...
2019/04/08 13:40:36.891 [D]  pid:0 offset:1137

2019/04/08 13:40:36.891 [D]  start to send message to kafka...
2019/04/08 13:40:36.910 [D]  pid:0 offset:1138

2019/04/08 13:40:36.910 [D]  start to send message to kafka...
2019/04/08 13:40:36.917 [D]  pid:0 offset:1139

2019/04/08 13:40:36.917 [D]  start to send message to kafka...
2019/04/08 13:40:37.886 [D]  pid:0 offset:1140

2019/04/08 13:40:37.886 [D]  start to send message to kafka...
2019/04/08 13:40:37.889 [D]  pid:0 offset:1141

2019/04/08 13:40:37.889 [D]  start to send message to kafka...
2019/04/08 13:40:37.906 [D]  pid:0 offset:1142

2019/04/08 13:40:37.906 [D]  start to send message to kafka...
2019/04/08 13:40:38.888 [D]  pid:0 offset:1143

2019/04/08 13:40:38.888 [D]  start to send message to kafka...
2019/04/08 13:40:38.896 [D]  pid:0 offset:1144

2019/04/08 13:40:38.896 [D]  start to send message to kafka...
2019/04/08 13:40:38.906 [D]  pid:0 offset:1145

2019/04/08 13:40:38.906 [D]  start to send message to kafka...
2019/04/08 13:40:39.903 [D]  pid:0 offset:1146

2019/04/08 13:40:39.903 [D]  start to send message to kafka...
2019/04/08 13:40:39.911 [D]  pid:0 offset:1147

2019/04/08 13:40:39.911 [D]  start to send message to kafka...
2019/04/08 13:40:39.916 [D]  pid:0 offset:1148

2019/04/08 13:40:39.916 [D]  start to send message to kafka...
2019/04/08 13:40:40.891 [D]  pid:0 offset:1149

2019/04/08 13:40:40.891 [D]  start to send message to kafka...
2019/04/08 13:40:40.894 [D]  pid:0 offset:1150

2019/04/08 13:40:40.894 [D]  start to send message to kafka...
2019/04/08 13:40:40.897 [D]  pid:0 offset:1151

2019/04/08 13:40:40.897 [D]  start to send message to kafka...
2019/04/08 13:40:41.889 [D]  pid:0 offset:1152

2019/04/08 13:40:41.889 [D]  start to send message to kafka...
2019/04/08 13:40:41.891 [D]  pid:0 offset:1153

2019/04/08 13:40:41.891 [D]  start to send message to kafka...
2019/04/08 13:40:41.893 [D]  pid:0 offset:1154

2019/04/08 13:40:41.893 [D]  start to send message to kafka...
2019/04/08 13:40:42.896 [D]  pid:0 offset:1155

2019/04/08 13:40:42.896 [D]  start to send message to kafka...
2019/04/08 13:40:42.911 [D]  pid:0 offset:1156

2019/04/08 13:40:42.911 [D]  start to send message to kafka...
2019/04/08 13:40:42.913 [D]  pid:0 offset:1157

2019/04/08 13:40:42.913 [D]  start to send message to kafka...
2019/04/08 13:40:43.905 [D]  pid:0 offset:1158

2019/04/08 13:40:43.905 [D]  start to send message to kafka...
2019/04/08 13:40:43.923 [D]  pid:0 offset:1159

2019/04/08 13:40:43.923 [D]  start to send message to kafka...
2019/04/08 13:40:43.931 [D]  pid:0 offset:1160

2019/04/08 13:40:43.931 [D]  start to send message to kafka...
2019/04/08 13:40:44.892 [D]  pid:0 offset:1161

2019/04/08 13:40:44.892 [D]  start to send message to kafka...
2019/04/08 13:40:44.896 [D]  pid:0 offset:1162

2019/04/08 13:40:44.896 [D]  start to send message to kafka...
2019/04/08 13:40:44.900 [D]  pid:0 offset:1163

2019/04/08 13:40:44.900 [D]  start to send message to kafka...
2019/04/08 13:40:45.894 [D]  pid:0 offset:1164

2019/04/08 13:40:45.894 [D]  start to send message to kafka...
2019/04/08 13:40:45.898 [D]  pid:0 offset:1165

2019/04/08 13:40:45.898 [D]  start to send message to kafka...
2019/04/08 13:40:45.901 [D]  pid:0 offset:1166

2019/04/08 13:40:45.901 [D]  start to send message to kafka...
2019/04/08 13:40:46.916 [D]  pid:0 offset:1167

2019/04/08 13:40:46.916 [D]  start to send message to kafka...
2019/04/08 13:40:46.926 [D]  pid:0 offset:1168

2019/04/08 13:40:46.926 [D]  start to send message to kafka...
2019/04/08 13:40:46.931 [D]  pid:0 offset:1169

2019/04/08 13:40:46.931 [D]  start to send message to kafka...
2019/04/08 13:40:47.923 [D]  pid:0 offset:1170

2019/04/08 13:40:47.924 [D]  start to send message to kafka...
2019/04/08 13:40:47.928 [D]  pid:0 offset:1171

2019/04/08 13:40:47.928 [D]  start to send message to kafka...
2019/04/08 13:40:47.937 [D]  pid:0 offset:1172

2019/04/08 13:40:47.937 [D]  start to send message to kafka...
2019/04/08 13:40:48.931 [D]  pid:0 offset:1173

2019/04/08 13:40:48.931 [D]  start to send message to kafka...
2019/04/08 13:40:48.936 [D]  pid:0 offset:1174

2019/04/08 13:40:48.936 [D]  start to send message to kafka...
2019/04/08 13:40:48.941 [D]  pid:0 offset:1175

2019/04/08 13:40:48.941 [D]  start to send message to kafka...
2019/04/08 13:40:49.933 [D]  pid:0 offset:1176

2019/04/08 13:40:49.933 [D]  start to send message to kafka...
2019/04/08 13:40:49.937 [D]  pid:0 offset:1177

2019/04/08 13:40:49.937 [D]  start to send message to kafka...
2019/04/08 13:40:49.939 [D]  pid:0 offset:1178

2019/04/08 13:40:49.939 [D]  start to send message to kafka...
2019/04/08 13:40:50.929 [D]  pid:0 offset:1179

2019/04/08 13:40:50.929 [D]  start to send message to kafka...
2019/04/08 13:40:50.930 [D]  pid:0 offset:1180

2019/04/08 13:40:50.930 [D]  start to send message to kafka...
2019/04/08 13:40:50.933 [D]  pid:0 offset:1181

2019/04/08 13:40:50.933 [D]  start to send message to kafka...
2019/04/08 13:40:52.068 [D]  pid:0 offset:1182

2019/04/08 13:40:52.068 [D]  start to send message to kafka...
2019/04/08 13:40:52.072 [D]  pid:0 offset:1183

2019/04/08 13:40:52.072 [D]  start to send message to kafka...
2019/04/08 13:40:52.074 [D]  pid:0 offset:1184

2019/04/08 13:40:52.074 [D]  start to send message to kafka...
2019/04/08 13:40:52.929 [D]  pid:0 offset:1185

2019/04/08 13:40:52.929 [D]  start to send message to kafka...
2019/04/08 13:40:52.931 [D]  pid:0 offset:1186

2019/04/08 13:40:52.931 [D]  start to send message to kafka...
2019/04/08 13:40:52.942 [D]  pid:0 offset:1187

2019/04/08 13:40:52.942 [D]  start to send message to kafka...
2019/04/08 13:40:53.947 [D]  pid:0 offset:1188

2019/04/08 13:40:53.947 [D]  start to send message to kafka...
2019/04/08 13:40:53.951 [D]  pid:0 offset:1189

2019/04/08 13:40:53.951 [D]  start to send message to kafka...
2019/04/08 13:40:53.955 [D]  pid:0 offset:1190

2019/04/08 13:40:53.955 [D]  start to send message to kafka...
2019/04/08 13:40:54.947 [D]  pid:0 offset:1191

2019/04/08 13:40:54.947 [D]  start to send message to kafka...
2019/04/08 13:40:54.950 [D]  pid:0 offset:1192

2019/04/08 13:40:54.950 [D]  start to send message to kafka...
2019/04/08 13:40:54.952 [D]  pid:0 offset:1193

2019/04/08 13:40:54.953 [D]  start to send message to kafka...
2019/04/08 13:40:55.953 [D]  pid:0 offset:1194

2019/04/08 13:40:55.953 [D]  start to send message to kafka...
2019/04/08 13:40:55.967 [D]  pid:0 offset:1195

2019/04/08 13:40:55.968 [D]  start to send message to kafka...
2019/04/08 13:40:55.974 [D]  pid:0 offset:1196

2019/04/08 13:40:55.974 [D]  start to send message to kafka...
2019/04/08 13:40:56.946 [D]  pid:0 offset:1197

2019/04/08 13:40:56.946 [D]  start to send message to kafka...
2019/04/08 13:40:56.953 [D]  pid:0 offset:1198

2019/04/08 13:40:56.953 [D]  start to send message to kafka...
2019/04/08 13:40:56.956 [D]  pid:0 offset:1199

2019/04/08 13:40:56.956 [D]  start to send message to kafka...
2019/04/08 13:40:57.951 [D]  pid:0 offset:1200

2019/04/08 13:40:57.951 [D]  start to send message to kafka...
2019/04/08 13:40:57.953 [D]  pid:0 offset:1201

2019/04/08 13:40:57.953 [D]  start to send message to kafka...
2019/04/08 13:40:57.955 [D]  pid:0 offset:1202

2019/04/08 13:40:57.955 [D]  start to send message to kafka...
2019/04/08 13:40:58.954 [D]  pid:0 offset:1203

2019/04/08 13:40:58.954 [D]  start to send message to kafka...
2019/04/08 13:40:58.956 [D]  pid:0 offset:1204

2019/04/08 13:40:58.956 [D]  start to send message to kafka...
2019/04/08 13:40:58.958 [D]  pid:0 offset:1205

2019/04/08 13:40:58.958 [D]  start to send message to kafka...
2019/04/08 13:40:59.951 [D]  pid:0 offset:1206

2019/04/08 13:40:59.952 [D]  start to send message to kafka...
2019/04/08 13:40:59.954 [D]  pid:0 offset:1207

2019/04/08 13:40:59.954 [D]  start to send message to kafka...
2019/04/08 13:40:59.958 [D]  pid:0 offset:1208

2019/04/08 13:40:59.958 [D]  start to send message to kafka...
2019/04/08 13:41:00.972 [D]  pid:0 offset:1209

2019/04/08 13:41:00.972 [D]  start to send message to kafka...
2019/04/08 13:41:00.976 [D]  pid:0 offset:1210

2019/04/08 13:41:00.976 [D]  start to send message to kafka...
2019/04/08 13:41:00.979 [D]  pid:0 offset:1211

2019/04/08 13:41:00.979 [D]  start to send message to kafka...
2019/04/08 13:41:01.956 [D]  pid:0 offset:1212

2019/04/08 13:41:01.956 [D]  start to send message to kafka...
2019/04/08 13:41:01.959 [D]  pid:0 offset:1213

2019/04/08 13:41:01.959 [D]  start to send message to kafka...
2019/04/08 13:41:01.961 [D]  pid:0 offset:1214

2019/04/08 13:41:01.961 [D]  start to send message to kafka...
2019/04/08 13:41:02.960 [D]  pid:0 offset:1215

2019/04/08 13:41:02.960 [D]  start to send message to kafka...
2019/04/08 13:41:02.966 [D]  pid:0 offset:1216

2019/04/08 13:41:02.966 [D]  start to send message to kafka...
2019/04/08 13:41:02.978 [D]  pid:0 offset:1217

2019/04/08 13:41:02.978 [D]  start to send message to kafka...
2019/04/08 13:41:03.961 [D]  pid:0 offset:1218

2019/04/08 13:41:03.961 [D]  start to send message to kafka...
2019/04/08 13:41:03.974 [D]  pid:0 offset:1219

2019/04/08 13:41:03.974 [D]  start to send message to kafka...
2019/04/08 13:41:03.987 [D]  pid:0 offset:1220

2019/04/08 13:41:03.987 [D]  start to send message to kafka...
2019/04/08 13:41:04.963 [D]  pid:0 offset:1221

2019/04/08 13:41:04.963 [D]  start to send message to kafka...
2019/04/08 13:41:04.974 [D]  pid:0 offset:1222

2019/04/08 13:41:04.974 [D]  start to send message to kafka...
2019/04/08 13:41:04.978 [D]  pid:0 offset:1223

2019/04/08 13:41:04.978 [D]  start to send message to kafka...
2019/04/08 13:41:05.961 [D]  pid:0 offset:1224

2019/04/08 13:41:05.961 [D]  start to send message to kafka...
2019/04/08 13:41:05.967 [D]  pid:0 offset:1225

2019/04/08 13:41:05.967 [D]  start to send message to kafka...
2019/04/08 13:41:05.971 [D]  pid:0 offset:1226

2019/04/08 13:41:05.971 [D]  start to send message to kafka...
2019/04/08 13:41:06.961 [D]  pid:0 offset:1227

2019/04/08 13:41:06.961 [D]  start to send message to kafka...
2019/04/08 13:41:06.967 [D]  pid:0 offset:1228

2019/04/08 13:41:06.967 [D]  start to send message to kafka...
2019/04/08 13:41:06.978 [D]  pid:0 offset:1229

2019/04/08 13:41:06.978 [D]  start to send message to kafka...
2019/04/08 13:41:07.971 [D]  pid:0 offset:1230

2019/04/08 13:41:07.971 [D]  start to send message to kafka...
2019/04/08 13:41:07.975 [D]  pid:0 offset:1231

2019/04/08 13:41:07.975 [D]  start to send message to kafka...
2019/04/08 13:41:07.978 [D]  pid:0 offset:1232

2019/04/08 13:41:07.978 [D]  start to send message to kafka...
2019/04/08 13:41:08.975 [D]  pid:0 offset:1233

2019/04/08 13:41:08.975 [D]  start to send message to kafka...
2019/04/08 13:41:08.980 [D]  pid:0 offset:1234

2019/04/08 13:41:08.980 [D]  start to send message to kafka...
2019/04/08 13:41:08.984 [D]  pid:0 offset:1235

2019/04/08 13:41:08.984 [D]  start to send message to kafka...
2019/04/08 13:41:09.965 [D]  pid:0 offset:1236

2019/04/08 13:41:09.965 [D]  start to send message to kafka...
2019/04/08 13:41:09.966 [D]  pid:0 offset:1237

2019/04/08 13:41:09.967 [D]  start to send message to kafka...
2019/04/08 13:41:09.970 [D]  pid:0 offset:1238

2019/04/08 13:41:09.970 [D]  start to send message to kafka...
2019/04/08 13:41:10.972 [D]  pid:0 offset:1239

2019/04/08 13:41:10.972 [D]  start to send message to kafka...
2019/04/08 13:41:10.990 [D]  pid:0 offset:1240

2019/04/08 13:41:10.990 [D]  start to send message to kafka...
2019/04/08 13:41:10.993 [D]  pid:0 offset:1241

2019/04/08 13:41:10.993 [D]  start to send message to kafka...
2019/04/08 13:41:11.967 [D]  pid:0 offset:1242

2019/04/08 13:41:11.968 [D]  start to send message to kafka...
2019/04/08 13:41:11.972 [D]  pid:0 offset:1243

2019/04/08 13:41:11.972 [D]  start to send message to kafka...
2019/04/08 13:41:11.974 [D]  pid:0 offset:1244

2019/04/08 13:41:11.974 [D]  start to send message to kafka...
2019/04/08 13:41:12.972 [D]  pid:0 offset:1245

2019/04/08 13:41:12.972 [D]  start to send message to kafka...
2019/04/08 13:41:12.984 [D]  pid:0 offset:1246

2019/04/08 13:41:12.984 [D]  start to send message to kafka...
2019/04/08 13:41:12.987 [D]  pid:0 offset:1247

2019/04/08 13:41:12.988 [D]  start to send message to kafka...
2019/04/08 13:41:13.970 [D]  pid:0 offset:1248

2019/04/08 13:41:13.970 [D]  start to send message to kafka...
2019/04/08 13:41:13.972 [D]  pid:0 offset:1249

2019/04/08 13:41:13.972 [D]  start to send message to kafka...
2019/04/08 13:41:13.983 [D]  pid:0 offset:1250

2019/04/08 13:41:13.983 [D]  start to send message to kafka...
2019/04/08 13:41:14.968 [D]  pid:0 offset:1251

2019/04/08 13:41:14.968 [D]  start to send message to kafka...
2019/04/08 13:41:14.975 [D]  pid:0 offset:1252

2019/04/08 13:41:14.975 [D]  start to send message to kafka...
2019/04/08 13:41:14.977 [D]  pid:0 offset:1253

2019/04/08 13:41:14.978 [D]  start to send message to kafka...
2019/04/08 13:41:15.972 [D]  pid:0 offset:1254

2019/04/08 13:41:15.972 [D]  start to send message to kafka...
2019/04/08 13:41:15.976 [D]  pid:0 offset:1255

2019/04/08 13:41:15.976 [D]  start to send message to kafka...
2019/04/08 13:41:15.979 [D]  pid:0 offset:1256

2019/04/08 13:41:15.979 [D]  start to send message to kafka...
2019/04/08 13:41:16.976 [D]  pid:0 offset:1257

2019/04/08 13:41:16.976 [D]  start to send message to kafka...
2019/04/08 13:41:16.990 [D]  pid:0 offset:1258

2019/04/08 13:41:16.990 [D]  start to send message to kafka...
2019/04/08 13:41:16.993 [D]  pid:0 offset:1259

2019/04/08 13:41:16.993 [D]  start to send message to kafka...
2019/04/08 13:41:17.980 [D]  pid:0 offset:1260

2019/04/08 13:41:17.980 [D]  start to send message to kafka...
2019/04/08 13:41:17.992 [D]  pid:0 offset:1261

2019/04/08 13:41:17.992 [D]  start to send message to kafka...
2019/04/08 13:41:18.004 [D]  pid:0 offset:1262

2019/04/08 13:41:18.005 [D]  start to send message to kafka...
2019/04/08 13:41:18.970 [D]  pid:0 offset:1263

2019/04/08 13:41:18.970 [D]  start to send message to kafka...
2019/04/08 13:41:18.972 [D]  pid:0 offset:1264

2019/04/08 13:41:18.972 [D]  start to send message to kafka...
2019/04/08 13:41:18.974 [D]  pid:0 offset:1265

2019/04/08 13:41:18.974 [D]  start to send message to kafka...
2019/04/08 13:41:19.972 [D]  pid:0 offset:1266

2019/04/08 13:41:19.972 [D]  start to send message to kafka...
2019/04/08 13:41:19.977 [D]  pid:0 offset:1267

2019/04/08 13:41:19.977 [D]  start to send message to kafka...
2019/04/08 13:41:19.985 [D]  pid:0 offset:1268

2019/04/08 13:41:19.985 [D]  start to send message to kafka...
2019/04/08 13:41:20.974 [D]  pid:0 offset:1269

2019/04/08 13:41:20.974 [D]  start to send message to kafka...
2019/04/08 13:41:20.978 [D]  pid:0 offset:1270

2019/04/08 13:41:20.978 [D]  start to send message to kafka...
2019/04/08 13:41:20.989 [D]  pid:0 offset:1271

2019/04/08 13:41:20.989 [D]  start to send message to kafka...
2019/04/08 13:41:21.968 [D]  pid:0 offset:1272

2019/04/08 13:41:21.968 [D]  start to send message to kafka...
2019/04/08 13:41:21.971 [D]  pid:0 offset:1273

2019/04/08 13:41:21.971 [D]  start to send message to kafka...
2019/04/08 13:41:21.974 [D]  pid:0 offset:1274

2019/04/08 13:41:21.974 [D]  start to send message to kafka...
2019/04/08 13:41:22.970 [D]  pid:0 offset:1275

2019/04/08 13:41:22.970 [D]  start to send message to kafka...
2019/04/08 13:41:22.979 [D]  pid:0 offset:1276

2019/04/08 13:41:22.979 [D]  start to send message to kafka...
2019/04/08 13:41:23.015 [D]  pid:0 offset:1277

2019/04/08 13:41:23.015 [D]  start to send message to kafka...
2019/04/08 13:41:23.974 [D]  pid:0 offset:1278

2019/04/08 13:41:23.974 [D]  start to send message to kafka...
2019/04/08 13:41:23.982 [D]  pid:0 offset:1279

2019/04/08 13:41:23.982 [D]  start to send message to kafka...
2019/04/08 13:41:23.986 [D]  pid:0 offset:1280

2019/04/08 13:41:23.986 [D]  start to send message to kafka...
2019/04/08 13:41:24.973 [D]  pid:0 offset:1281

2019/04/08 13:41:24.973 [D]  start to send message to kafka...
2019/04/08 13:41:24.977 [D]  pid:0 offset:1282

2019/04/08 13:41:24.977 [D]  start to send message to kafka...
2019/04/08 13:41:24.984 [D]  pid:0 offset:1283

2019/04/08 13:41:24.984 [D]  start to send message to kafka...
2019/04/08 13:41:25.978 [D]  pid:0 offset:1284

2019/04/08 13:41:25.978 [D]  start to send message to kafka...
2019/04/08 13:41:25.989 [D]  pid:0 offset:1285

2019/04/08 13:41:25.989 [D]  start to send message to kafka...
2019/04/08 13:41:25.992 [D]  pid:0 offset:1286

2019/04/08 13:41:25.992 [D]  start to send message to kafka...
2019/04/08 13:41:26.973 [D]  pid:0 offset:1287

2019/04/08 13:41:26.973 [D]  start to send message to kafka...
2019/04/08 13:41:26.980 [D]  pid:0 offset:1288

2019/04/08 13:41:26.980 [D]  start to send message to kafka...
2019/04/08 13:41:26.989 [D]  pid:0 offset:1289

2019/04/08 13:41:26.989 [D]  start to send message to kafka...
2019/04/08 13:41:27.981 [D]  pid:0 offset:1290

2019/04/08 13:41:27.981 [D]  start to send message to kafka...
2019/04/08 13:41:27.987 [D]  pid:0 offset:1291

2019/04/08 13:41:27.988 [D]  start to send message to kafka...
2019/04/08 13:41:27.995 [D]  pid:0 offset:1292

2019/04/08 13:41:27.995 [D]  start to send message to kafka...
2019/04/08 13:41:28.983 [D]  pid:0 offset:1293

2019/04/08 13:41:28.983 [D]  start to send message to kafka...
2019/04/08 13:41:28.990 [D]  pid:0 offset:1294

2019/04/08 13:41:28.990 [D]  start to send message to kafka...
2019/04/08 13:41:28.992 [D]  pid:0 offset:1295

2019/04/08 13:41:28.992 [D]  start to send message to kafka...
2019/04/08 13:41:29.975 [D]  pid:0 offset:1296

2019/04/08 13:41:29.975 [D]  start to send message to kafka...
2019/04/08 13:41:29.978 [D]  pid:0 offset:1297

2019/04/08 13:41:29.978 [D]  start to send message to kafka...
2019/04/08 13:41:29.987 [D]  pid:0 offset:1298

2019/04/08 13:41:29.987 [D]  start to send message to kafka...
2019/04/08 13:41:30.977 [D]  pid:0 offset:1299

